Size,Time,average_ob,max_ob,min_ob
1000,0.940000,8.987000,10,1
1100,0.919091,9.149091,11,1
1200,0.981667,9.303333,11,1
1300,0.896923,9.433846,11,1
1400,1.085714,9.545714,11,1
1500,0.891333,9.642667,11,1
1600,0.865625,9.727500,11,1
1700,0.717647,9.802353,11,1
1800,0.718333,9.868889,11,1
1900,0.683684,9.928421,11,1
2000,0.711500,9.982000,11,1
2100,0.864286,10.055714,12,1
2200,0.745909,10.144091,12,1
2300,0.712609,10.224783,12,1
2400,0.809583,10.298750,12,1
2500,0.829600,10.366800,12,1
2600,0.855000,10.429615,12,1
2700,0.682963,10.487778,12,1
2800,0.675714,10.541786,12,1
2900,0.659655,10.592069,12,1
3000,0.688667,10.639000,12,1
3100,0.658387,10.682903,12,1
3200,0.734375,10.724063,12,1
3300,0.734848,10.762727,12,1
3400,0.846471,10.799118,12,1
3500,0.682857,10.833429,12,1
3600,0.734444,10.865833,12,1
3700,0.661892,10.896486,12,1
3800,0.702632,10.925526,12,1
3900,0.682564,10.953077,12,1
4000,0.690250,10.979250,12,1
4100,0.694634,11.005366,13,1
4200,0.888095,11.052857,13,1
4300,0.787209,11.098140,13,1
4400,0.717955,11.141364,13,1
4500,0.686000,11.182667,13,1
4600,0.849348,11.222174,13,1
4700,0.681915,11.260000,13,1
4800,0.782500,11.296250,13,1
4900,0.685918,11.331020,13,1
5000,0.743600,11.364400,13,1
5100,0.743137,11.396471,13,1
5200,0.687115,11.427308,13,1
5300,0.764717,11.456981,13,1
5400,0.780370,11.485556,13,1
5500,0.705455,11.513091,13,1
5600,0.698214,11.539643,13,1
5700,0.822982,11.565263,13,1
5800,0.699310,11.590000,13,1
5900,0.903729,11.613898,13,1
6000,0.768333,11.637000,13,1
6100,0.732623,11.659344,13,1
6200,0.772742,11.680968,13,1
6300,0.714762,11.701905,13,1
6400,0.881875,11.722188,13,1
6500,0.828462,11.741846,13,1
6600,0.697424,11.760909,13,1
6700,0.891045,11.779403,13,1
6800,0.663971,11.797353,13,1
6900,0.712319,11.814783,13,1
7000,0.879286,11.831714,13,1
7100,0.903380,11.848169,13,1
7200,0.814583,11.864167,13,1
7300,0.739863,11.879726,13,1
7400,0.777838,11.894865,13,1
7500,0.712800,11.909600,13,1
7600,0.781842,11.923947,13,1
7700,0.783117,11.937922,13,1
7800,0.768333,11.951538,13,1
7900,0.751013,11.964810,13,1
8000,0.787875,11.977750,13,1
8100,0.864074,11.990370,13,1
8200,0.755854,12.003780,14,1
8300,0.798313,12.027831,14,1
8400,0.790238,12.051310,14,1
8500,0.792118,12.074235,14,1
8600,0.844535,12.096628,14,1
8700,0.759310,12.118506,14,1
8800,0.766136,12.139886,14,1
8900,0.711011,12.160787,14,1
9000,0.824222,12.181222,14,1
9100,0.734066,12.201209,14,1
9200,0.778478,12.220761,14,1
9300,0.705054,12.239892,14,1
9400,0.780745,12.258617,14,1
9500,0.785263,12.276947,14,1
9600,0.694896,12.294896,14,1
9700,0.721134,12.312474,14,1
9800,0.787551,12.329694,14,1
9900,0.785556,12.346566,14,1
